## Model CSV,,,,,,,,,,
#SubModel,# Product Name,# Part Number,# Material,# Young's Modulus [kgf/mm2],# Density [kg/m3],# Measured Mass(kg),# Mesh Size,# Min Length,# Join Group Number,# Fill All Holes
TURRET_INDEX_ASSY,GEAR_SHAFT,MC83429262-201,SCM415,22500,7820,,-,0.5,,
TURRET_INDEX_ASSY,INDEX_MOTOR_SOLID,bis8-12_SVMT_Fanuc,FC300_FC28,12000,7300,1.96,-,-,,
TURRET_INDEX_ASSY,INDEX_SHAFT,T753001260,STEEL,21000,7820,,-,-,5,
TURRET_INDEX_ASSY,NUT_LOCK_NUT,Z066916740,SCM415,22500,7820,,-,-,,
TURRET_INDEX_ASSY,PISTON_DUMMY,T753001560,STEEL,21000,7820,5.7,-,-,,
TURRET_INDEX_ASSY,PISTON_DUMMY,Z061961930,STEEL,21000,7820,5.7,-,-,,
TURRET_INDEX_ASSY,PISTON_DUMMY,ZK92044600,STEEL,21000,7820,5.7,-,-,,
TURRET_INDEX_ASSY,PISTON_DUMMY,Z061962070,STEEL,21000,7820,5.7,-,-,,
TURRET_INDEX_ASSY,PLATE,T753002261-101,STEEL,21000,7820,,-,-,,
TURRET_INDEX_ASSY,RETAINER_GEAR,MC93410060-002,STEEL,21000,7820,,-,-,,
TURRET_INDEX_ASSY,RING_LOCK,EL,STEEL,21000,7820,,-,0.5,,
TURRET_INDEX_ASSY,SUPPORT_GEAR_BOX,T753001161-101,FC300_FC28,12000,7300,,-,-,,
X_AXIS_DRIVE_ASSY,BEARING_CAP_X,MC93105060-001,STEEL,21000,7820,,-,-,1,
X_AXIS_DRIVE_ASSY,HOUSING_X_BRG,T751003660,FC300_FC28,12000,7300,,-,-,1,
X_AXIS_DRIVE_ASSY,HOUSING_X_MOTOR,T751000563-301,FC300_FC28,12000,7300,,-,-,1,
X_AXIS_DRIVE_ASSY,X_AXIS_MOTOR_SOLID,B12is_C22554_20110511,ALUMINIUM_AC4A,7000,2770,2.41,-,-,,
X_AXIS_DRIVE_ASSY,X_BS_NUT,Z907463700_B,SCM415,22500,7820,,-,-,2,
X_AXIS_DRIVE_ASSY,X_BS_SCREW,Z907463700_A,SCM415,22500,7820,,-,-,,
Z_AXIS_DRIVE_ASSY,HOUSING_Z_MOTOR,T753001363-301,FC300_FC28,12000,7300,,-,-,2,
Z_AXIS_DRIVE_ASSY,Z_AXIS_MOTOR_SOLID,bis22_SVMT_Fanuc,ALUMINIUM_AC4A,7000,2770,,-,-,,
Z_AXIS_DRIVE_ASSY,Z_BS_NUT,Z907463602_B,SCM415,22500,7820,,-,-,3,
Z_AXIS_DRIVE_ASSY,Z_BS_SCREW,Z907463602_A,SCM415,22500,7820,,-,-,,
SPINDLE_ASSY,BRG_ANG,Z907100501_A,STEEL,21000,7820,,-,-,,
SPINDLE_ASSY,BRG_RR,Z908077400,STEEL,21000,7820,,-,-,,
SPINDLE_ASSY,BRG_RR,Z908077500,STEEL,21000,7820,,-,-,,
## Spring CSV,,,,,,,,,,
# Spring name, # X or R [kgf/mm], # Y or theta [kgf/mm], # Z [kgf/mm],,,,,,,
CylinderAdp,0,300000,0,,,,,,,
GireR,0,101972000,0,,,,,,,
GireT,0,339.8,0,,,,,,,
LevelingBolt1,21406.82867,42813.65735,21406.82867,,,,,,,
LevelingBolt2,21001.09688,42002.19376,21001.09688,,,,,,,
LevelingBolt3,14158.7723,28317.5446,14158.7723,,,,,,,
LevelingBolt4,13120.08983,26240.17965,13120.08983,,,,,,,
ORing,300000,0,8000,,,,,,,
ORingCase,300000,300000,300000,,,,,,,
Piston,3569,3569,3569,,,,,,,
ShellBRG1,42488.17554,0,212.4408777,,,,,,,
ShellBRG2,0,0,3993.916667,,,,,,,
ShellBRG3,39125.80194,0,5281.983261,,,,,,,
SolidBRG,2605.078684,3722.385888,57143.06936,,,,,,,
Spring6817,3738.955,0,1507,,,,,,,
TurretBar,0,1090550,749002,,,,,,,
TurretCop,13665,3290.17,2912.99,,,,,,,
X_BS_BRG,86675.8781,0,0,,,,,,,
X_BS_MON,86675.8781,0,0,,,,,,,
X_BS_NUT,55574.53361,0,0,,,,,,,
Z_BS_MON,0,0,86675.8781,,,,,,,
Z_BS_NUT,0,0,65975.63898,,,,,,,
LinearSliding,10615.245,10630.54275,106.3054275,,,,,,,
